ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title	Gene.ID
161956_at	0.756137	1.67e-01	2.220.251	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1	11668
99401_at	0.756137	1.67e-01	2.220.203	Uhmk1	U2AF homology motif (UHM) kinase 1	16589
95994_at	0.756137	1.67e-01	2.219.446	C80012	expressed sequence C80012	97458
99152_at	0.756137	1.67e-01	2.218.837	Fmod	fibromodulin	14264
93446_at	0.756137	1.68e-01	2.217.645	Zfp60	zinc finger protein 60	22718
160297_at	0.756137	1.68e-01	2.217.246	Ccdc58	coiled-coil domain containing 58	381045
161510_f_at	0.756137	1.68e-01	2.217.215	Scn1b	sodium channel, voltage-gated, type I, beta	20266
160850_at	0.756508	1.68e-01	2.215.365	Fpgs	folylpolyglutamyl synthetase	14287
99405_at	0.756508	1.68e-01	2.214.884	Igkv1-133	immunoglobulin kappa variable 1-133	628027
93593_f_at	0.756508	1.68e-01	2.214.522	Emp3	epithelial membrane protein 3	13732
93721_at	0.756785	1.68e-01	2.212.927	Cap1	CAP, adenylate cyclase-associated protein 1 (yeast)	12331
95702_at	0.756785	1.68e-01	2.212.671	Stt3b	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)	68292
94077_f_at	0.756997	1.68e-01	221.051	Rpn2	ribophorin II	20014
160068_at	0.756997	1.68e-01	2.210.509	Sap30	sin3 associated polypeptide	60406
100428_at	0.756997	1.68e-01	2.210.281	Lamc2	laminin, gamma 2	16782
96203_at	0.756997	1.68e-01	2.209.654	Calml4	calmodulin-like 4	75600
102344_s_at	0.757016	1.69e-01	2.208.971	Tcea3	transcription elongation factor A (SII), 3	21401
98026_g_at	0.757688	1.69e-01	2.206.979	Evi2a	ecotropic viral integration site 2a	14017
103942_at	0.757962	1.69e-01	2.205.585	Gucy2c	guanylate cyclase 2c	14917
93041_at	0.757962	1.69e-01	2.204.405	Mcm4	minichromosome maintenance complex component 4	17217
160382_at	0.757962	1.69e-01	2.204.104	Rrp7a	ribosomal RNA processing 7 homolog A (S. cerevisiae)	74778
92256_at	0.757962	1.69e-01	2.203.278	Ctsb	cathepsin B	13030
102210_at	0.757962	1.69e-01	2.202.621	Dtnb	dystrobrevin, beta	13528
162347_f_at	0.757962	1.69e-01	2.202.046	Bgn	biglycan	12111
160468_at	0.757962	1.69e-01	2.201.918	Mtpn	myotrophin	14489
102678_at	0.757989	1.70e-01	2.200.277	Trim21	tripartite motif-containing 21	20821
94286_at	0.757989	1.70e-01	2.200.275	Smim7	small integral membrane protein 7	66818
102430_at	0.757989	1.70e-01	2.199.936	Myd88	myeloid differentiation primary response gene 88	17874
101035_at	0.758096	1.70e-01	2.199.078	Api5	apoptosis inhibitor 5	11800
100584_at	0.759009	1.70e-01	2.196.616	Anxa4	annexin A4	11746
102306_at	0.760023	1.70e-01	2.193.811	Hs2st1	heparan sulfate 2-O-sulfotransferase 1	23908
161394_f_at	0.760023	1.70e-01	2.192.495	Hist1h2bp	histone cluster 1, H2bp	319188
100424_at	0.760023	1.70e-01	2.191.649	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	13870
160584_at	0.760023	1.70e-01	2.191.482			
94549_at	0.760023	1.71e-01	2.191.391	Mfsd1	major facilitator superfamily domain containing 1	66868
103049_at	0.760291	1.71e-01	2.189.431			
160915_at	0.760291	1.71e-01	2.189.068	B4galt3	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3	57370
104409_at	0.760291	1.71e-01	2.188.941	Grik5	glutamate receptor, ionotropic, kainate 5 (gamma 2)	14809
104690_at	0.761289	1.71e-01	2.186.085	Polm	polymerase (DNA directed), mu	54125
97695_s_at	0.761289	1.71e-01	2.184.271	Rpl7	ribosomal protein L7	19989
94897_at	0.761289	1.71e-01	2.182.676	Gpx4	glutathione peroxidase 4	625249
95135_at	0.761289	1.72e-01	2.182.459	Mid1ip1	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	68041
160602_at	0.761289	1.72e-01	2.181.981	Pde6d	phosphodiesterase 6D, cGMP-specific, rod, delta	18582
103542_at	0.761289	1.72e-01	2.181.785	Tnks1bp1	tankyrase 1 binding protein 1	228140
97594_r_at	0.761289	1.72e-01	2.180.661	Flii	flightless I actin binding protein	14248
102913_at	0.761289	1.72e-01	2.180.003	Bcl2a1d///Bcl2a1b///Bcl2a1a	B cell leukemia/lymphoma 2 related protein A1d///B cell leukemia/lymphoma 2 related protein A1b///B cell leukemia/lymphoma 2 related protein A1a	12047///12045///12044
97885_at	0.761289	1.72e-01	2.179.888	Tmem176b	transmembrane protein 176B	65963
161167_r_at	0.761289	1.72e-01	2.179.263	Uck1	uridine-cytidine kinase 1	22245
97886_at	0.761289	1.72e-01	2.177.948	Spr	sepiapterin reductase	20751
97693_at	0.761289	1.72e-01	2.177.911	C78513	EST C78513	30865
161990_f_at	0.761289	1.72e-01	2.176.877	Diaph1	diaphanous related formin 1	13367
92782_at	0.761289	1.72e-01	2.176.705	Tmpo	thymopoietin	21917
97424_at	0.761289	1.72e-01	2.176.274	Arl6ip5	ADP-ribosylation factor-like 6 interacting protein 5	65106
92891_f_at	0.761289	1.72e-01	2.176.169	Hoxc9	homeobox C9	15427
161853_f_at	0.761289	1.72e-01	2.176.152	Prkcq	protein kinase C, theta	18761
98762_f_at	0.761339	1.72e-01	217.542	Zfp97	zinc finger protein 97	22759
160912_i_at	0.761563	1.72e-01	2.174.133	Pias2	protein inhibitor of activated STAT 2	17344
102240_at	0.761563	1.73e-01	2.173.712	Ppargc1a	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	19017
92766_at	0.762534	1.73e-01	2.170.573	Hand1	heart and neural crest derivatives expressed transcript 1	15110
103308_at	0.762534	1.73e-01	2.170.528	Mis18bp1	MIS18 binding protein 1	217653
95984_at	0.762761	1.73e-01	2.169.448	C79468	expressed sequence C79468	97294
96001_at	0.76313	1.73e-01	2.168.088	Nudcd3	NudC domain containing 3	209586
101614_at	0.763431	1.73e-01	2.166.379			
100533_s_at	0.763431	1.73e-01	2.165.695	Crem	cAMP responsive element modulator	12916
95771_i_at	0.763431	1.74e-01	2.163.825	Fzd4	frizzled class receptor 4	14366
96109_at	0.763431	1.74e-01	2.163.133	Klf2	Kruppel-like factor 2 (lung)	16598
93091_s_at	0.763431	1.74e-01	2.162.748	Fgfr2	fibroblast growth factor receptor 2	14183
100710_at	0.763431	1.74e-01	2.162.691	Vcp	valosin containing protein	269523
94455_at	0.763431	1.74e-01	2.162.669	Lsm3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated	67678
103086_at	0.763431	1.74e-01	2.161.929	Hoxa5	homeobox A5	15402
93056_g_at	0.763431	1.74e-01	2.161.687	Ankrd46	ankyrin repeat domain 46	68839
160127_at	0.763431	1.74e-01	2.161.209	Ccng1	cyclin G1	12450
161818_f_at	0.763703	1.74e-01	2.160.045	Car4	carbonic anhydrase 4	12351
95738_at	0.763859	1.74e-01	2.159.006	Aldh18a1	aldehyde dehydrogenase 18 family, member A1	56454
101314_at	0.763859	1.74e-01	2.158.486	H2-Pa	histocompatibility 2, P region alpha locus	15003
94198_at	0.764113	1.74e-01	215.736	Ppard	peroxisome proliferator activator receptor delta	19015
92339_at	0.764438	1.75e-01	2.155.934	Taf1a	TATA-box binding protein associated factor, RNA polymerase I, A	21339
98943_at	0.764438	1.75e-01	2.155.174	Rpa2	replication protein A2	19891
161280_r_at	0.764438	1.75e-01	2.154.844	Pelo	pelota homolog (Drosophila)	105083
97464_at	0.765107	1.75e-01	2.152.904	Gm10193///Zfp706	predicted gene 10193///zinc finger protein 706	100042023///68036
103950_at	0.765319	1.75e-01	2.151.526	Aqr	aquarius	11834
161272_f_at	0.765319	1.75e-01	2.150.545	Znrf2	zinc and ring finger 2	387524
160645_at	0.765319	1.75e-01	2.149.626	Birc3	baculoviral IAP repeat-containing 3	11796
95480_at	0.765319	1.75e-01	2.149.594	Ramp2///Vps25	receptor (calcitonin) activity modifying protein 2///vacuolar protein sorting 25	54409///28084
92354_at	0.765319	1.75e-01	2.148.342	Maf	avian musculoaponeurotic fibrosarcoma oncogene homolog	17132
104516_at	0.765319	1.75e-01	214.834	Cldn5	claudin 5	12741
99424_at	0.765319	1.76e-01	2.147.192	Fgf14	fibroblast growth factor 14	14169
161629_i_at	0.765319	1.76e-01	2.146.626			
97205_at	0.765319	1.76e-01	2.146.503	Eif3j1	eukaryotic translation initiation factor 3, subunit J1	78655
100694_at	0.765319	1.76e-01	2.146.264	Gm13777///Rplp1	predicted gene 13777///ribosomal protein, large, P1	279067///56040
160637_at	0.765894	1.76e-01	2.144.432	Mocs2	molybdenum cofactor synthesis 2	17434
98451_at	0.765894	1.76e-01	2.143.624	Dnajb2	DnaJ heat shock protein family (Hsp40) member B2	56812
103036_at	0.765894	1.76e-01	2.143.277	Xrcc6	X-ray repair complementing defective repair in Chinese hamster cells 6	14375
104454_at	0.76594	1.76e-01	2.141.901	Pms2	postmeiotic segregation increased 2 (S. cerevisiae)	18861
101129_at	0.76594	1.76e-01	2.141.542	Rpl5///Rpl5-ps2	ribosomal protein L5///ribisomal protein L5, pseudogene 2	100503670///668936
94283_at	0.76594	1.76e-01	2.140.553	Mrpl49	mitochondrial ribosomal protein L49	18120
104611_at	0.76594	1.76e-01	2.140.139	Wdr26	WD repeat domain 26	226757
93496_at	0.76594	1.77e-01	2.137.123	Elovl5	ELOVL family member 5, elongation of long chain fatty acids (yeast)	68801
97120_at	0.76594	1.77e-01	2.137.105			
92795_at	0.76594	1.77e-01	2.136.079	Map4	microtubule-associated protein 4	17758
94910_at	0.76594	1.77e-01	2.135.959	Nde1	nudE neurodevelopment protein 1	67203
97293_at	0.76594	1.77e-01	2.135.906	Gm15455///Rbm10	predicted gene 15455///RNA binding motif protein 10	433287///236732
92804_at	0.76594	1.77e-01	2.135.409	Polr2h	polymerase (RNA) II (DNA directed) polypeptide H	245841
101922_at	0.76594	1.77e-01	2.134.247	Kdelr2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	66913
102899_at	0.76594	1.77e-01	2.133.476	St6galnac3	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	20447
162164_f_at	0.76594	1.77e-01	2.133.165	Actn3	actinin alpha 3	11474
93679_at	0.76594	1.77e-01	2.131.204	Klrk1	killer cell lectin-like receptor subfamily K, member 1	27007
160838_at	0.76594	1.77e-01	2.131.127	Orc2	origin recognition complex, subunit 2	18393
101227_at	0.76594	1.78e-01	2.130.808			
160853_at	0.76594	1.78e-01	2.130.491	Ptdss2	phosphatidylserine synthase 2	27388
103545_at	0.76594	1.78e-01	2.129.718	Rab26os	RAB26, member RAS oncogene family, opposite strand	75614
99510_at	0.76594	1.78e-01	2.129.132	Prkcb	protein kinase C, beta	18751
94361_at	0.76594	1.78e-01	2.128.267	Ddx21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	56200
103406_at	0.76594	1.78e-01	2.127.612	Gpn1	GPN-loop GTPase 1	74254
161667_r_at	0.76594	1.78e-01	2.125.342	Tmem59	transmembrane protein 59	56374
93245_at	0.76594	1.78e-01	2.125.159	Pramel7	preferentially expressed antigen in melanoma like 7	347712
92478_at	0.76594	1.78e-01	2.124.681	Stag1	stromal antigen 1	20842
94255_g_at	0.76594	1.78e-01	2.123.453	Clic4	chloride intracellular channel 4 (mitochondrial)	29876
93458_at	0.76594	1.78e-01	2.122.574	Cphx3///Cphx2///Cphx1	cytoplasmic polyadenylated homeobox 3///cytoplasmic polyadenylated homeobox 2///cytoplasmic polyadenylated homeobox 1	100039280///100039213///105594
102754_at	0.76594	1.79e-01	2.121.964	Birc6	baculoviral IAP repeat-containing 6	12211
102230_at	0.76594	1.79e-01	2.121.269	Nat6///Hyal1	N-acetyltransferase 6///hyaluronoglucosaminidase 1	56441///15586
104767_f_at	0.76594	1.79e-01	2.121.025	Mrps18a	mitochondrial ribosomal protein S18A	68565
98528_at	0.76594	1.79e-01	212.099	Tmem234	transmembrane protein 234	76799
97089_at	0.76594	1.79e-01	2.120.466	Folh1	folate hydrolase 1	53320
104408_s_at	0.76594	1.79e-01	2.119.757	Sox18	SRY (sex determining region Y)-box 18	20672
102638_at	0.76594	1.79e-01	2.119.613	Cst7	cystatin F (leukocystatin)	13011
103571_at	0.76594	1.79e-01	2.119.599	Lst1	leukocyte specific transcript 1	16988
93397_at	0.76594	1.79e-01	2.119.532	Ccr2	chemokine (C-C motif) receptor 2	12772
95673_s_at	0.76594	1.79e-01	2.119.524	Basp1	brain abundant, membrane attached signal protein 1	70350
97325_at	0.76594	1.79e-01	2.119.449	Pxk	PX domain containing serine/threonine kinase	218699
94379_at	0.76594	1.79e-01	2.118.907	Kif1b	kinesin family member 1B	16561
96738_at	0.76594	1.79e-01	2.117.427	Adam9	a disintegrin and metallopeptidase domain 9 (meltrin gamma)	11502
102731_g_at	0.76594	1.79e-01	2.116.915	H2-M3	histocompatibility 2, M region locus 3	14991
101546_at	0.76594	1.79e-01	2.116.589	Neu1	neuraminidase 1	18010
95758_at	0.76594	1.79e-01	2.116.073	Scd2	stearoyl-Coenzyme A desaturase 2	20250
104045_at	0.76594	1.79e-01	2.115.956	Tspyl4	TSPY-like 4	72480
160891_at	0.76594	1.79e-01	2.115.347	Sftpb	surfactant associated protein B	20388
103812_at	0.76594	1.80e-01	2.114.023	Clca3a1	chloride channel accessory 3A1	12722
94698_at	0.76594	1.80e-01	211.399	Fli1	Friend leukemia integration 1	14247
161858_f_at	0.76594	1.80e-01	2.112.756	Rb1	retinoblastoma 1	19645
102721_at	0.76594	1.80e-01	211.255	Ighg3	Immunoglobulin heavy constant gamma 3	380795
101805_f_at	0.76594	1.80e-01	2.112.467	Nfil3	nuclear factor, interleukin 3, regulated	18030
103916_at	0.76594	1.80e-01	2.111.281	Tmem159	transmembrane protein 159	233806
102991_s_at	0.76594	1.80e-01	2.111.114	H2-Ke6	H2-K region expressed gene 6	14979
104527_at	0.76594	1.80e-01	2.110.143	Rad51	RAD51 recombinase	19361
97722_at	0.76594	1.80e-01	2.110.084	Ssr1	signal sequence receptor, alpha	107513
95363_at	0.76594	1.80e-01	2.108.886	Gzmm	granzyme M (lymphocyte met-ase 1)	16904
92590_at	0.76594	1.80e-01	2.108.142	Hmgcs2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	15360
99168_at	0.76594	1.80e-01	2.107.928	Pigs	phosphatidylinositol glycan anchor biosynthesis, class S	276846
103295_at	0.76594	1.80e-01	2.106.669	Mia3	melanoma inhibitory activity 3	338366
104104_at	0.76594	1.81e-01	2.105.541	Crxos	cone-rod homeobox, opposite strand	546024
94210_at	0.76594	1.81e-01	2.104.993	Timm13	translocase of inner mitochondrial membrane 13	30055
161612_f_at	0.76594	1.81e-01	2.104.083	Tubb3	tubulin, beta 3 class III	22152
100065_r_at	0.76594	1.81e-01	2.103.883	Gja1	gap junction protein, alpha 1	14609
160776_at	0.76594	1.81e-01	2.103.216	Dcaf8	DDB1 and CUL4 associated factor 8	98193
161028_at	0.76594	1.81e-01	210.294	Bmp6	bone morphogenetic protein 6	12161
93819_at	0.76594	1.81e-01	2.102.556	Gm10698///Tmed2	predicted gene 10698///transmembrane emp24 domain trafficking protein 2	100862175///56334
97308_at	0.76594	1.81e-01	2.101.822	Tmem11	transmembrane protein 11	216821
92580_at	0.76594	1.81e-01	2.101.672	Hars	histidyl-tRNA synthetase	15115
103786_at	0.76594	1.81e-01	2.100.774	Sepsecs	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase	211006
95712_at	0.76594	1.81e-01	2.100.687	Orc6	origin recognition complex, subunit 6	56452
92325_at	0.76594	1.81e-01	2.100.634	Ptk7	PTK7 protein tyrosine kinase 7	71461
97130_at	0.76594	1.81e-01	2.100.187	Ate1	arginyltransferase 1	11907
102762_r_at	0.76594	1.81e-01	2.099.757	Rhag	Rhesus blood group-associated A glycoprotein	19743
92211_at	0.76594	1.81e-01	2.099.108	Bod1l	biorientation of chromosomes in cell division 1-like	665775
95395_at	0.76594	1.81e-01	2.097.977	Ythdf3	YTH domain family 3	229096
101901_at	0.76594	1.82e-01	2.097.258	Mpdu1	mannose-P-dolichol utilization defect 1	24070
162490_f_at	0.76594	1.82e-01	2.097.243	Pdcd6	programmed cell death 6	18570
94466_f_at	0.76594	1.82e-01	2.096.701	Cebpz	CCAAT/enhancer binding protein zeta	12607
160189_at	0.76594	1.82e-01	2.095.915	Nudt4	nudix (nucleoside diphosphate linked moiety X)-type motif 4	71207
94456_at	0.76594	1.82e-01	2.095.787	Set	SET nuclear oncogene	56086
93586_at	0.766163	1.82e-01	2.094.757	Syngr2	synaptogyrin 2	20973
101014_at	0.767179	1.82e-01	2.092.186	Ifnar2	interferon (alpha and beta) receptor 2	15976
101010_at	0.767487	1.82e-01	2.090.539	Mybbp1a	MYB binding protein (P160) 1a	18432
99322_at	0.767487	1.82e-01	2.090.398	Kcnq1	potassium voltage-gated channel, subfamily Q, member 1	16535
95911_at	0.768115	1.83e-01	2.088.048	Hnrnpab	heterogeneous nuclear ribonucleoprotein A/B	15384
103529_at	0.768115	1.83e-01	2.087.992	Tnfaip8l1	tumor necrosis factor, alpha-induced protein 8-like 1	66443
104108_at	0.768191	1.83e-01	2.086.423	Dennd5a	DENN/MADD domain containing 5A	19347
95999_at	0.768191	1.83e-01	208.565			
96523_at	0.768191	1.83e-01	2.085.609	En1	engrailed 1	13798
93399_at	0.768191	1.83e-01	2.085.334	Rai2	retinoic acid induced 2	24004
160594_at	0.768191	1.83e-01	2.084.753	Col17a1	collagen, type XVII, alpha 1	12821
160862_at	0.768191	1.83e-01	2.084.289	Ptp4a3	protein tyrosine phosphatase 4a3	19245
104450_at	0.769386	1.83e-01	2.081.384			
103319_at	0.769797	1.84e-01	2.079.197	Psmd10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	53380
104645_at	0.769797	1.84e-01	2.079.008	Klf7	Kruppel-like factor 7 (ubiquitous)	93691
102320_at	0.769797	1.84e-01	2.078.818	Snx12	sorting nexin 12	55988
101856_at	0.770388	1.84e-01	2.076.756	Kctd17	potassium channel tetramerisation domain containing 17	72844
98572_at	0.770388	1.84e-01	2.076.471	Dnajb11	DnaJ heat shock protein family (Hsp40) member B11	67838
96089_at	0.770388	1.84e-01	2.075.907	4931406C07Rik	RIKEN cDNA 4931406C07 gene	70984
98774_at	0.770893	1.84e-01	2.073.227	Acod1	aconitate decarboxylase 1	16365
100722_r_at	0.770893	1.85e-01	2.072.716			
94072_g_at	0.770893	1.85e-01	2.071.977	Gosr2	golgi SNAP receptor complex member 2	56494
95244_at	0.770893	1.85e-01	2.071.973	Zfp40	zinc finger protein 40	22700
99502_at	0.770893	1.85e-01	207.163	Zfp148	zinc finger protein 148	22661
103682_at	0.770893	1.85e-01	2.071.007	Uri1	URI1, prefoldin-like chaperone	19777
94747_at	0.770893	1.85e-01	2.070.108	Csf2rb	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	12983
94090_at	0.770893	1.85e-01	20.699	Tlm	T lymphoma oncogene	21893
98523_at	0.770893	1.85e-01	2.069.638	Rps29	ribosomal protein S29	20090
160225_at	0.771198	1.85e-01	2.068.465	Gtf2b	general transcription factor IIB	229906
98782_at	0.772293	1.85e-01	2.065.308	Cplx2	complexin 2	12890
160900_at	0.772293	1.85e-01	2.065.187	Gkap1	G kinase anchoring protein 1	56278
160615_at	0.772457	1.86e-01	2.064.207	Pias3	protein inhibitor of activated STAT 3	229615
100458_at	0.772457	1.86e-01	2.063.702	Napb	N-ethylmaleimide sensitive fusion protein attachment protein beta	17957
96206_at	0.772578	1.86e-01	2.062.202	Phldb1	pleckstrin homology like domain, family B, member 1	102693
101575_i_at	0.772578	1.86e-01	2.061.815	Serpina1e///Serpina1d///Serpina1c///Serpina1b///Serpina1a	serine (or cysteine) peptidase inhibitor, clade A, member 1E///serine (or cysteine) peptidase inhibitor, clade A, member 1D///serine (or cysteine) peptidase inhibitor, clade A, member 1C///serine (or cysteine) preptidase inhibitor, clade A, member 1B///serine (or cysteine) peptidase inhibitor, clade A, member 1A	20704///20703///20702///20701///20700
162357_at	0.772578	1.86e-01	2.061.286	Ebi3	Epstein-Barr virus induced gene 3	50498
103495_at	0.772578	1.86e-01	2.058.272			
102829_s_at	0.772578	1.86e-01	2.057.831	Map2k6	mitogen-activated protein kinase kinase 6	26399
160570_at	0.772578	1.86e-01	2.057.161	Actn2	actinin alpha 2	11472
100348_at	0.772578	1.87e-01	2.056.815			
103366_at	0.772578	1.87e-01	2.055.867	Arhgap9	Rho GTPase activating protein 9	216445
101796_at	0.772578	1.87e-01	2.055.397	Pcdh7	protocadherin 7	54216
95734_at	0.772578	1.87e-01	2.055.307	Mrpl3	mitochondrial ribosomal protein L3	94062
101293_at	0.772578	1.87e-01	2.055.226	G6pd2	glucose-6-phosphate dehydrogenase 2	14380
160690_at	0.772578	1.87e-01	2.054.232	Csnk2a1	casein kinase 2, alpha 1 polypeptide	12995
92480_f_at	0.772578	1.87e-01	205.274	Zfp53	zinc finger protein 53	24132
160877_at	0.772578	1.87e-01	2.052.479	Ogn	osteoglycin	18295
99995_at	0.772578	1.87e-01	2.051.859	Cetn1	centrin 1	26369
95791_s_at	0.772578	1.87e-01	2.051.704	Srsf2	serine/arginine-rich splicing factor 2	20382
97287_at	0.772578	1.87e-01	2.051.272	Pdzk1	PDZ domain containing 1	59020
92771_at	0.772578	1.87e-01	2.050.692	Zfp207	zinc finger protein 207	22680
97185_at	0.772578	1.87e-01	2.050.143	Arnt	aryl hydrocarbon receptor nuclear translocator	11863
96128_at	0.772578	1.87e-01	2.049.815	Cdk18	cyclin-dependent kinase 18	18557
96355_at	0.772578	1.88e-01	2.047.446	Mrpl42	mitochondrial ribosomal protein L42	67270
102699_at	0.772578	1.88e-01	204.732	Mx2	MX dynamin-like GTPase 2	17858
98570_at	0.772578	1.88e-01	2.046.833	Naca	nascent polypeptide-associated complex alpha polypeptide	17938
160802_at	0.772578	1.88e-01	2.046.568	Ppan	peter pan homolog (Drosophila)	235036
103470_at	0.772578	1.88e-01	2.046.002	Pramel6	preferentially expressed antigen in melanoma like 6	347711
161086_at	0.772578	1.88e-01	2.045.374	Lin7c	lin-7 homolog C (C. elegans)	22343
102578_at	0.772578	1.88e-01	2.044.698	Pax5	paired box 5	18507
94843_at	0.772578	1.88e-01	2.044.086	Pold4	polymerase (DNA-directed), delta 4	69745
97979_at	0.772578	1.88e-01	204.364	Ppp1r7	protein phosphatase 1, regulatory (inhibitor) subunit 7	66385
97256_at	0.772578	1.88e-01	2.043.551	Ndufa12	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12	66414
100436_at	0.772578	1.88e-01	2.043.018	Orm1	orosomucoid 1	18405
160482_at	0.772578	1.88e-01	2.042.428	Acaa1a	acetyl-Coenzyme A acyltransferase 1A	113868
92790_at	0.772578	1.88e-01	2.042.414	Kpna2	karyopherin (importin) alpha 2	16647
98836_at	0.772578	1.88e-01	2.042.117	Pdcd1	programmed cell death 1	18566
160280_at	0.772578	1.89e-01	2.041.306	Cav1	caveolin 1, caveolae protein	12389
94098_at	0.772578	1.89e-01	2.041.271	Hcrt	hypocretin	15171
93723_at	0.772578	1.89e-01	2.041.253	Ror2	receptor tyrosine kinase-like orphan receptor 2	26564
99933_at	0.772578	1.89e-01	2.040.904	Nectin2	nectin cell adhesion molecule 2	19294
94839_at	0.772578	1.89e-01	2.040.447	Nucb1	nucleobindin 1	18220
92405_at	0.772578	1.89e-01	2.037.473	Kpna6	karyopherin (importin) alpha 6	16650
98867_at	0.772578	1.89e-01	2.037.031	Dlx6os2	distal-less homeobox 6, opposite strand 2	13397
99027_at	0.772578	1.89e-01	2.036.893	Bcl2l1	BCL2-like 1	12048
99820_f_at	0.772578	1.89e-01	2.036.793	Cecr5	cat eye syndrome chromosome region, candidate 5	214932
93636_at	0.772578	1.89e-01	2.036.032	Rttn	rotatin	246102
100688_at	0.772578	1.89e-01	2.035.616	Crybb2	crystallin, beta B2	12961
94343_at	0.772578	1.89e-01	2.035.037	Dnajc3	DnaJ heat shock protein family (Hsp40) member C3	100037258
101333_at	0.772578	1.89e-01	2.034.721	Galnt4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4	14426
101897_g_at	0.772578	1.89e-01	2.034.691	Cd1d2///Cd1d1	CD1d2 antigen///CD1d1 antigen	12480///12479
94955_at	0.772578	1.90e-01	2.033.539	Ankrd40	ankyrin repeat domain 40	71452
100895_at	0.772578	1.90e-01	2.031.406	Lsg1	large 60S subunit nuclear export GTPase 1	224092
95722_at	0.772578	1.90e-01	2.031.216	Glrx	glutaredoxin	93692
161504_i_at	0.772578	1.90e-01	2.030.826	Cisd1	CDGSH iron sulfur domain 1	52637
104615_at	0.772578	1.90e-01	2.030.571	Galt	galactose-1-phosphate uridyl transferase	14430
102670_at	0.772578	1.90e-01	2.029.664	Vps54	VPS54 GARP complex subunit	245944
93373_at	0.772578	1.90e-01	2.029.214	Naglu	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)	27419
94166_g_at	0.772578	1.90e-01	2.029.121	Ccl1	chemokine (C-C motif) ligand 1	20290
162136_r_at	0.772578	1.90e-01	2.029.096	Tbxas1	thromboxane A synthase 1, platelet	21391
96871_at	0.772578	1.90e-01	2.029.058	Slmo2	slowmo homolog 2 (Drosophila)	66390
96757_at	0.772578	1.90e-01	2.028.603	D10Jhu81e	DNA segment, Chr 10, Johns Hopkins University 81 expressed	28295
92865_at	0.772578	1.90e-01	2.027.785	Dnase1	deoxyribonuclease I	13419
98022_at	0.772578	1.90e-01	202.625	Pcsk7	proprotein convertase subtilisin/kexin type 7	18554
104371_at	0.772578	1.90e-01	2.025.879	Dgat1	diacylglycerol O-acyltransferase 1	13350
92311_s_at	0.772578	1.90e-01	2.025.823	Pik3c2a	phosphatidylinositol 3-kinase, C2 domain containing, alpha polypeptide	18704
101234_at	0.772578	1.90e-01	202.582	C78704	expressed sequence C78704	97868
99891_at	0.772578	1.90e-01	2.025.798	Pou6f1	POU domain, class 6, transcription factor 1	19009
94448_at	0.772578	1.91e-01	202.502	Bcl10	B cell leukemia/lymphoma 10	12042
97052_at	0.772578	1.91e-01	2.024.532	Vwf	Von Willebrand factor	22371
101643_at	0.772578	1.91e-01	2.023.663	Stx1b	syntaxin 1B	56216
160129_at	0.772578	1.91e-01	2.023.027	Eef1d	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	66656
94127_at	0.772578	1.91e-01	2.022.409	Diaph2	diaphanous related formin 2	54004
93018_at	0.772578	1.91e-01	2.021.928	Ifitm2	interferon induced transmembrane protein 2	80876
102639_at	0.772578	1.91e-01	2.021.513	Chst2	carbohydrate sulfotransferase 2	54371
92557_at	0.772578	1.91e-01	2.021.183	Hsd17b1	hydroxysteroid (17-beta) dehydrogenase 1	15485
94191_at	0.772578	1.91e-01	2.020.927	F2rl3	coagulation factor II (thrombin) receptor-like 3	14065
161999_at	0.772591	1.91e-01	2.020.338			
100743_at	0.772862	1.91e-01	2.018.861	Ino80c	INO80 complex subunit C	225280
102146_at	0.772862	1.91e-01	2.018.693	Insr	insulin receptor	16337
92863_at	0.773016	1.92e-01	2.017.509	Wbp2	WW domain binding protein 2	22378
160617_at	0.773016	1.92e-01	2.017.054	Klf13	Kruppel-like factor 13	50794
96946_at	0.773016	1.92e-01	2.016.711	Lsm1	LSM1 homolog, mRNA degradation associated	67207
104411_at	0.773422	1.92e-01	2.015.001	D930048N14Rik	RIKEN cDNA D930048N14 gene	97775
